Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Bahrain,01-12-2020,5719,11,5076,92675
Bahrain,01-01-2021,10382,23,8382,103057
Bahrain,01-02-2021,19337,74,16490,122394
Bahrain,01-03-2021,22051,72,20226,144445
Bahrain,01-04-2021,32489,125,30613,176934
Bahrain,01-05-2021,63597,334,45096,240531
Bahrain,01-06-2021,25296,372,50263,265827
Bahrain,01-07-2021,3359,32,5509,269186
Bahrain,01-08-2021,3354,4,424,272540
Bahrain,01-09-2021,2517,1,0,275057
Bahrain,01-10-2021,1772,4,0,276829
Bahrain,01-11-2021,861,1,0,277690
Bahrain,01-12-2021,4372,0,0,282062
Bahrain,01-01-2022,92513,14,0,374575
Bahrain,01-02-2022,140308,46,0,514883
Bahrain,01-03-2022,39586,17,0,554469
Bahrain,01-04-2022,8290,2,0,562759
Bangladesh,01-01-2020,0,0,0,0
Bangladesh,01-02-2020,0,0,0,0
Bangladesh,01-03-2020,51,5,25,51
Bangladesh,01-04-2020,7616,163,135,7667
Bangladesh,01-05-2020,39486,482,9621,47153
Bangladesh,01-06-2020,98330,1197,49843,145483
Bangladesh,01-07-2020,92178,1264,75512,237661
Bangladesh,01-08-2020,75335,1170,69751,312996
Bangladesh,01-09-2020,50483,970,70600,363479
Bangladesh,01-10-2020,44205,672,48658,407684
Bangladesh,01-11-2020,57248,721,56566,464932
Bangladesh,01-12-2020,48578,915,76748,513510
Bangladesh,01-01-2021,21629,568,22285,535139
Bangladesh,01-02-2021,11077,281,17180,546216
Bangladesh,01-03-2021,65079,638,45175,611295
Bangladesh,01-04-2021,147837,2404,139327,759132
Bangladesh,01-05-2021,41408,1169,58946,800540
Bangladesh,01-06-2021,112718,1884,75878,913258
Bangladesh,01-07-2021,336226,6182,261962,1249484
Bangladesh,01-08-2021,251134,5510,62945,1500618
Bangladesh,01-09-2021,55293,1315,0,1555911
Bangladesh,01-10-2021,13628,358,0,1569539
Bangladesh,01-11-2021,6745,113,0,1576284
Bangladesh,01-12-2021,9255,91,0,1585539
Bangladesh,01-01-2022,213294,322,0,1798833
Bangladesh,01-02-2022,144744,643,0,1943577
Bangladesh,01-03-2022,8000,85,0,1951577
Bangladesh,01-04-2022,698,2,0,1952275
Barbados,01-01-2020,0,0,0,0
Barbados,01-02-2020,0,0,0,0
Barbados,01-03-2020,34,0,0,34
Barbados,01-04-2020,47,7,39,81
Barbados,01-05-2020,11,0,37,92
Barbados,01-06-2020,5,0,14,97
Barbados,01-07-2020,13,0,6,110
Barbados,01-08-2020,64,0,50,174
Barbados,01-09-2020,16,0,33,190
Barbados,01-10-2020,47,0,42,237
Barbados,01-11-2020,39,0,29,276
Barbados,01-12-2020,107,0,69,383
Barbados,01-01-2021,1162,7,839,1545
Barbados,01-02-2021,1523,19,1249,3068
Barbados,01-03-2021,584,9,1058,3652
Barbados,01-04-2021,203,2,303,3855
Barbados,01-05-2021,162,3,162,4017
Barbados,01-06-2021,64,0,77,4081
Barbados,01-07-2021,309,1,328,4390
Barbados,01-08-2021,642,2,22,5032
Barbados,01-09-2021,3349,24,0,8381
Barbados,01-10-2021,9382,79,0,17763
Barbados,01-11-2021,7553,76,0,25316
Barbados,01-12-2021,3249,31,0,28565
Barbados,01-01-2022,15865,20,0,44430
Barbados,01-02-2022,10735,36,0,55165
Barbados,01-03-2022,4107,58,0,59272
Barbados,01-04-2022,5076,9,0,64348
Belarus,01-01-2020,0,0,0,0
Belarus,01-02-2020,1,0,0,1
Belarus,01-03-2020,151,1,47,152
Belarus,01-04-2020,13875,88,2340,14027
Belarus,01-05-2020,28529,146,16128,42556
Belarus,01-06-2020,19562,157,27540,62118
Belarus,01-07-2020,5690,167,16390,67808
Belarus,01-08-2020,4035,122,8024,71843
Belarus,01-09-2020,6788,152,4057,78631
Belarus,01-10-2020,19851,147,12138,98482
Belarus,01-11-2020,38165,178,27678,136647
Belarus,01-12-2020,57637,266,60806,194284
Belarus,01-01-2021,54052,294,60691,248336
Belarus,01-02-2021,38970,258,42157,287306
Belarus,01-03-2021,34501,271,34325,321807
Belarus,01-04-2021,36931,295,36693,358738
Belarus,01-05-2021,35701,309,36369,394439
Belarus,01-06-2021,22750,292,24415,417189
Belarus,01-07-2021,28851,311,30403,446040
Belarus,01-08-2021,35492,326,3217,481532
Belarus,01-09-2021,56554,363,0,538086
Belarus,01-10-2021,62082,488,0,600168
Belarus,01-11-2021,54550,450,0,654718
Belarus,01-12-2021,44392,497,0,699110
Belarus,01-01-2022,43843,474,0,742953
Belarus,01-02-2022,176783,428,0,919736
Belarus,01-03-2022,42971,339,0,962707
Belarus,01-04-2022,11339,80,0,974046
Belgium,01-01-2020,0,0,0,0
Belgium,01-02-2020,1,0,1,1
Belgium,01-03-2020,12774,705,1725,12775
Belgium,01-04-2020,35744,6889,9880,48519
Belgium,01-05-2020,9862,1873,4311,58381
Belgium,01-06-2020,3046,280,1097,61427
Belgium,01-07-2020,7324,94,562,68751
Belgium,01-08-2020,16485,171,876,85236
Belgium,01-09-2020,33216,121,1032,118452
Belgium,01-10-2020,310777,1609,6167,429229
Belgium,01-11-2020,148116,5020,5561,577345
Belgium,01-12-2020,69151,2883,0,646496
Belgium,01-01-2021,63657,1564,0,710153
Belgium,01-02-2021,61358,985,0,771511
Belgium,01-03-2021,110942,939,0,882453
Belgium,01-04-2021,107776,1214,0,990229
Belgium,01-05-2021,71772,725,0,1062001
Belgium,01-06-2021,23130,218,0,1085131
Belgium,01-07-2021,39584,68,0,1124715
Belgium,01-08-2021,59949,139,0,1184664
Belgium,01-09-2021,60290,222,0,1244954
Belgium,01-10-2021,115696,392,0,1360650
Belgium,01-11-2021,405385,1021,0,1766035
Belgium,01-12-2021,339308,1316,0,2105343
Belgium,01-01-2022,1049896,721,0,3155239
Belgium,01-02-2022,402075,1127,0,3557314
Belgium,01-03-2022,293734,647,0,3851048
Belgium,01-04-2022,121915,339,0,3972963
Belize,01-01-2020,0,0,0,0
Belize,01-02-2020,0,0,0,0
Belize,01-03-2020,3,0,0,3
Belize,01-04-2020,15,2,9,18
Belize,01-05-2020,0,0,7,18
Belize,01-06-2020,6,0,2,24
Belize,01-07-2020,24,0,12,48
Belize,01-08-2020,959,11,143,1007
Belize,01-09-2020,985,14,1073,1992
Belize,01-10-2020,1495,32,914,3487
Belize,01-11-2020,2367,89,991,5854
Belize,01-12-2020,4922,100,6644,10776
Belize,01-01-2021,1132,53,1514,11908
Belize,01-02-2021,385,14,527,12293
Belize,01-03-2021,163,3,254,12456
Belize,01-04-2021,212,6,128,12668
Belize,01-05-2021,141,1,190,12809
Belize,01-06-2021,442,5,246,13251
Belize,01-07-2021,912,8,766,14163
Belize,01-08-2021,2190,25,123,16353
Belize,01-09-2021,4448,52,0,20801
Belize,01-10-2021,5997,77,0,26798
Belize,01-11-2021,3633,87,0,30431
Belize,01-12-2021,2409,27,0,32840
Belize,01-01-2022,17647,23,0,50487
Belize,01-02-2022,6207,25,0,56694
Belize,01-03-2022,586,4,0,57280
Belize,01-04-2022,51,18,0,57331
Benin,01-01-2020,0,0,0,0
Benin,01-02-2020,0,0,0,0
Benin,01-03-2020,9,0,1,9
Benin,01-04-2020,55,1,32,64
Benin,01-05-2020,377,2,136,232
Benin,01-06-2020,967,18,190,1199
Benin,01-07-2020,606,15,703,1805
Benin,01-08-2020,340,4,702,2145
Benin,01-09-2020,212,1,235,2357
Benin,01-10-2020,286,0,445,2643
Benin,01-11-2020,372,2,421,3015
Benin,01-12-2020,236,1,222,3251
Benin,01-01-2021,642,8,360,3893
Benin,01-02-2021,1541,18,827,5434
Benin,01-03-2021,1666,20,2204,7100
Benin,01-04-2021,721,9,1128,7821
Benin,01-05-2021,237,2,313,8058
Benin,01-06-2021,141,3,107,8199
Benin,01-07-2021,195,4,136,8394
Benin,01-08-2021,4972,20,0,13366
Benin,01-09-2021,10524,31,0,23890
Benin,01-10-2021,859,2,0,24749
